Years_At_Company,Total Staff,Attrited Staff,Attrition Rate
0,44,16.0,36.36
1,171,59.0,34.5
2,127,27.0,21.26
3,128,20.0,15.62
4,110,19.0,17.27
5,196,21.0,10.71
6,76,9.0,11.84
7,90,11.0,12.22
8,80,9.0,11.25
9,82,8.0,9.76
10,120,18.0,15.0
11,32,2.0,6.25
12,14,,
13,24,2.0,8.33
14,18,2.0,11.11
15,20,1.0,5.0
16,12,1.0,8.33
17,9,1.0,11.11
18,13,1.0,7.69
19,11,1.0,9.09
20,27,1.0,3.7
21,14,1.0,7.14
22,15,1.0,6.67
23,2,1.0,50.0
24,6,1.0,16.67
25,4,,
26,4,,
27,2,,
29,2,,
30,1,,
31,3,1.0,33.33
32,3,1.0,33.33
33,5,1.0,20.0
34,1,,
36,2,,
37,1,,
40,1,1.0,100.0
